lines, lines, lines!
7
Deck
Steering
Flag
Cannons
A way to board other ships
Treasure Room
Fighting mechanism
The Pearl
2
TESTING TESTING
3/6/2025 12:00PM
TESTING TESTING
Your New Pearl
3/6/2025 12:00PM
The pearl is a classic pirate ship, focusing mostly on playing offense on the seas.⏎As a pearl, your ship will be designed to pillage and raid.⏎Your pearl must include:⏎  ‣   At least three cannons⏎  ‣   A way to board other ships⏎  ‣   A treasure room for stolen goodies⏎  ‣   Your own creative design for fighting other pirate ships
7
1127
1
466 363 219 143 81 20
467 363 219 143 81 20
468 363 219 143 81 20
469 363 219 143 81 20
470 363 219 143 81 20
471 363 219 143 81 20
472 363 219 143 81 20
473 363 219 143 81 20
474 363 219 143 81 20
475 363 219 143 81 20
476 363 219 143 81 20
477 363 219 143 81 20
478 363 219 143 81 20
479 363 219 143 81 20
480 363 219 143 81 20
481 363 219 143 81 20
482 363 219 143 81 20
483 363 219 143 81 20
484 363 219 143 81 20
485 363 219 143 81 20
486 363 219 143 81 20
487 363 219 143 81 20
488 363 219 143 81 20
489 363 219 143 81 20
490 363 219 143 81 20
491 363 219 143 81 20
492 363 219 143 81 20
493 363 219 143 81 20
494 363 219 143 81 20
495 363 219 143 81 20
496 363 219 143 81 20
497 363 219 143 81 20
498 363 219 143 81 20
499 363 219 143 81 20
500 363 219 143 81 20
501 363 219 143 81 20
502 363 219 143 81 20
503 363 219 143 81 20
504 363 219 143 81 20
505 363 219 143 81 20
506 363 219 143 81 20
507 363 219 143 81 20
508 363 219 143 81 20
509 363 219 143 81 20
510 363 219 143 81 20
511 363 219 143 81 20
512 363 219 143 81 20
513 363 219 143 81 20
514 363 219 143 81 20
515 363 219 143 81 20
516 363 219 143 81 20
517 363 219 143 81 20
518 363 219 143 81 20
519 363 219 143 81 20
520 363 219 143 81 20
521 363 219 143 81 20
522 363 219 143 81 20
523 363 219 143 81 20
524 363 219 143 81 20
525 363 219 143 81 20
526 363 219 143 81 20
527 363 219 143 81 20
528 363 219 143 81 20
529 363 219 143 81 20
530 363 219 143 81 20
531 363 219 143 81 20
532 363 219 143 81 20
533 363 219 143 81 20
534 363 219 143 81 20
535 363 219 143 81 20
536 363 219 143 81 20
537 363 219 143 81 20
538 363 219 143 81 20
539 363 219 143 81 20
540 363 219 143 81 20
541 363 219 143 81 20
542 363 219 143 81 20
543 363 219 143 81 20
544 363 219 143 81 20
545 363 219 143 81 20
546 363 219 143 81 20
547 363 219 143 81 20
548 363 219 143 81 20
549 363 219 143 81 20
550 363 219 143 81 20
551 363 219 143 81 20
552 363 219 143 81 20
553 363 219 143 81 20
554 363 219 143 81 20
555 363 219 143 81 20
556 363 219 143 81 20
557 363 219 143 81 20
558 363 219 143 81 20
559 363 219 143 81 20
560 363 219 143 81 20
561 363 219 143 81 20
562 363 219 143 81 20
563 363 219 143 81 20
564 363 219 143 81 20
565 363 219 143 81 20
566 363 219 143 81 20
567 363 219 143 81 20
568 363 219 143 81 20
569 363 219 143 81 20
570 363 219 143 81 20
571 363 219 143 81 20
572 363 219 143 81 20
573 363 219 143 81 20
574 363 219 143 81 20
575 363 219 143 81 20
576 363 219 143 81 20
577 363 219 143 81 20
578 363 219 143 81 20
579 363 219 143 81 20
